Entity;Year;Code;Other renewables (including geothermal and biomass) electricity generation - TWh;Solar generation - TWh;Wind generation - TWh;Hydro generation - TWh;Population;Other renewable (per capita - Wh);Solar generation (per capita - Wh);Wind generation (per capita - Wh);Hydro generation (per capita - Wh)
Albania;2019;;0;0;0;0;2885012;0;0;0;0
Albania;2020;;0;0;0;0;2871951;0;0;0;0
Albania;2021;;0;0;0;0;2849643;0;0;0;0
Albania;2022;;0;0;0;0;2827615;0;0;0;0
Albania;2023;;0;0;0;0;2811660;0;0;0;0
Andorra;2019;;0;0;0;0;76491;0;0;0;0
Andorra;2020;;0;0;0;0;77398;0;0;0;0
Andorra;2021;;0;0;0;0;78375;0;0;0;0
Andorra;2022;;0;0;0;0;79722;0;0;0;0
Andorra;2023;;0;0;0;0;80868;0;0;0;0
Armenia;2019;;0;0;0;0;2903975;0;0;0;0
Armenia;2020;;0;0;0;0;2890894;0;0;0;0
Armenia;2021;;0;0;0;0;2870339;0;0;0;0
Armenia;2022;;0;0;0;0;2880883;0;0;0;0
Armenia;2023;;0;0;0;0;2943395;0;0;0;0
Austria;2019;AUT;4,6682663;1,702093;7,4500766;40,82597;8880875;525,6538686;191,6582544;838,8899292;4597,066167
Austria;2020;AUT;4,6011376;2,042934;6,7915306;41,99803;8921402;515,7415393;228,9924835;761,2627029;4707,559417
Austria;2021;AUT;4,4915257;2,7826018;6,7400417;38,75133;8967053;500,8920657;310,3139683;751,645128;4321,52347
Austria;2022;AUT;4,7004566;3,7917044;7,245134;33,97806;9064679;518,5463931;418,294393;799,2708843;3748,401901
Austria;2023;AUT;4,558223;5,1640363;8,0375595;38,855656;9130434;499,2339904;565,5849766;880,3042112;4255,619831
Azerbaijan;2019;AZE;0,09795;0,0442;0,1054;1,5648;10110486;9,687961588;4,371698848;10,42482033;154,7700081
Azerbaijan;2020;AZE;0,1003;0,047;0,0961;1,0695;10181736;9,850972369;4,616108687;9,438469039;105,0410264
Azerbaijan;2021;AZE;0,0966;0,0552;0,0914;1,2773;10234373;9,43878047;5,39358884;8,930688768;124,8049099
Azerbaijan;2022;AZE;0,10265;0,0609;0,0833;1,5957;10295307;9,970562315;5,915316561;8,091065181;154,9929497
Azerbaijan;2023;AZE;0,1115;0,0794;0,0566;1,7634;10318210;10,80613789;7,695133167;5,485447573;170,9017359
Belarus;2019;BLR;0,11;0,179;0,166;0,351;9435414;11,65820599;18,97108065;17,59329267;37,20027547
Belarus;2020;BLR;0,268;0,17;0,185;0,4;9350943;28,66021106;18,17998463;19,78410092;42,77643442
Belarus;2021;BLR;0,5439;0,1738;0,168;0,371;9251367;58,7913116;18,78641286;18,15947849;40,10218166
Belarus;2022;BLR;0,5208;0,2087;0,1747112;0,37;9173241;56,77382727;22,75095574;19,04574403;40,33470831
Belarus;2023;BLR;0,5075;0,1533;0,17174067;0,3;9115680;55,67330139;16,81717656;18,84013809;32,91032594
Belgium;2019;BEL;5,1736;4,2525;9,7554;0,302;11490622;450,2454262;370,0844045;848,9879834;26,28230221
Belgium;2020;BEL;5,2686;5,1122;12,8186;0,2669;11540103;456,5470516;442,994313;1110,787313;23,12804314
Belgium;2021;BEL;4,6909;5,6181;11,9976;0,4181;11570842;405,4069704;485,5394275;1036,882191;36,13393044
Belgium;2022;BEL;4,9358;6,876;12,3526;0,2711;11641813;423,9717645;590,6296554;1061,054666;23,28675096
Belgium;2023;BEL;3,4755101;7,3287697;15,676437;0,39227447;11712894;296,725139;625,701018;1338,391434;33,49082387
Bosnia and Herzegovina;2019;;0;0;0;0;3345534;0;0;0;0
Bosnia and Herzegovina;2020;;0;0;0;0;3299352;0;0;0;0
Bosnia and Herzegovina;2021;;0;0;0;0;3244909;0;0;0;0
Bosnia and Herzegovina;2022;;0;0;0;0;3204805;0;0;0;0
Bosnia and Herzegovina;2023;;0;0;0;0;3185071;0;0;0;0
Bulgaria;2019;BGR;1,820811;1,417286;1,316988;2,929499;6975467;261,0306951;203,1815218;188,8028429;419,9717381
Bulgaria;2020;BGR;1,699341;1,46872;1,477131;2,820398;6933654;245,0859244;211,8248185;213,0378874;406,76936
Bulgaria;2021;BGR;2,588892;1,466598;1,433561;4,819205;6877222;376,4444422;213,2544216;208,4505924;700,7487907
Bulgaria;2022;BGR;2,243594;2,093838;1,499125;3,803279;6825863;328,6901598;306,7506629;219,6242439;557,1865418
Bulgaria;2023;BGR;1,8885072;3,4297245;1,5839481;3,1302676;6795804;277,8931235;504,6826689;233,0773666;460,6176988
Croatia;2019;HRV;0,9703;0,0831;1,4673;5,8261;3986338;243,4063544;20,8462002;368,0821847;1461,516811
Croatia;2020;HRV;1,072;0,0955;1,7207;5,6624;3953957;271,1208038;24,15301937;435,1842977;1432,084365
Croatia;2021;HRV;1,1895;0,1489;2,0618;7,1277;3924607;303,0876722;37,94010458;525,3519652;1816,156369
Croatia;2022;HRV;1,2015;0,1519;2,1378;5,4597;3907031;307,5225152;38,87862676;547,1674015;1397,403809
Croatia;2023;HRV;1,0625012;0,37693232;2,3494534;8,17058;3896024;272,7142338;96,74794611;603,038739;2097,158539
Cyprus;2019;CYP;0,05792;0,218267;0,238565;0;1286669;45,01546241;169,6372571;185,4128762;0
Cyprus;2020;CYP;0,060632;0,295608;0,240408;0;1302250;46,55941639;226,9978883;184,609714;0
Cyprus;2021;CYP;0,05994;0,468338;0,246478;0;1317312;45,50174902;355,5254943;187,106775;0
Cyprus;2022;CYP;0,05784;0,601859;0,224266;0;1331376;43,44377546;452,057871;168,4467799;0
Cyprus;2023;CYP;0,0492176;0,82589877;0,20847693;0;1344979;36,5935825;614,0607177;155,0038551;0
Czechia;2019;CZE;5,030655;2,2877533;0,70003396;2,0086746;10554871;476,6192784;216,7485799;66,32330798;190,3078304
Czechia;2020;CZE;5,212986;2,2372687;0,6990835;2,1442552;10550130;494,1158071;212,0607708;66,26302235;203,244434
Czechia;2021;CZE;5,3839655;2,1522183;0,6015541;2,4102345;10530683;511,2646065;204,375946;57,12393963;228,8773197
Czechia;2022;CZE;5,404244;2,298348;0,6413305;2,0934653;10673216;506,3369841;215,3379075;60,08784044;196,1419407
Czechia;2023;CZE;5,1635184;2,1920664;0,70141083;2,342997;10809722;477,6735609;202,7865656;64,88703687;216,7490524
Denmark;2019;DNK;5,943146;0,9632695;16,149834;0,016955;5814619;1022,104114;165,6633908;2777,453518;2,91592622
Denmark;2020;DNK;5,919057;1,180532;16,330214;0,017064;5831530;1015,009269;202,439497;2800,330959;2,926161745
Denmark;2021;DNK;8,718286;1,308929;16,054466;0,016294;5856773;1488,581852;223,4897955;2741,179486;2,782078117
Denmark;2022;DNK;7,273136;2,202567;19,027824;0,014944;5902898;1232,12971;373,1331627;3223,47159;2,53163785
Denmark;2023;DNK;6,6870804;3,4771225;19,394854;0,01968496;5948134;1124,231633;584,5736663;3260,661915;3,309434522
Estonia;2019;EST;1,363;0,0735;0,687;0,019;1326821;1027,267431;55,39556579;517,7789619;14,31994218
Estonia;2020;EST;1,8515;0,245;0,844;0,03;1329674;1392,44657;184,2556897;634,7420496;22,56192119
Estonia;2021;EST;1,7585;0,354;0,731;0,021;1331750;1320,443026;265,8156561;548,9018209;15,76872536
Estonia;2022;EST;1,596;0,596;0,668;0,023;1350092;1182,141661;441,4513974;494,7810964;17,03587607
Estonia;2023;EST;1,4219745;0,7319015;0,69578224;0,02656338;1367194;1040,067832;535,3311235;508,9125903;19,42912271
Finland;2019;FIN;13,292058;0,147182;6,024746;12,420475;5521755;2407,216184;26,65493127;1091,092596;2249,370897
