Entity,Year,Code,Other renewables (including geothermal and biomass) electricity generation - TWh,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh
Albania,2019,,0.0,0.0,0.0,0.0
Albania,2020,,0.0,0.0,0.0,0.0
Albania,2021,,0.0,0.0,0.0,0.0
Albania,2022,,0.0,0.0,0.0,0.0
Albania,2023,,0.0,0.0,0.0,0.0
Andorra,2019,,0.0,0.0,0.0,0.0
Andorra,2020,,0.0,0.0,0.0,0.0
Andorra,2021,,0.0,0.0,0.0,0.0
Andorra,2022,,0.0,0.0,0.0,0.0
Andorra,2023,,0.0,0.0,0.0,0.0
Armenia,2019,,0.0,0.0,0.0,0.0
Armenia,2020,,0.0,0.0,0.0,0.0
Armenia,2021,,0.0,0.0,0.0,0.0
Armenia,2022,,0.0,0.0,0.0,0.0
Armenia,2023,,0.0,0.0,0.0,0.0
Austria,2019,AUT,4.6682663,1.702093,7.4500766,40.82597
Austria,2020,AUT,4.6011376,2.042934,6.7915306,41.99803
Austria,2021,AUT,4.4915257,2.7826018,6.7400417,38.75133
Austria,2022,AUT,4.7004566,3.7917044,7.245134,33.97806
Austria,2023,AUT,4.558223,5.1640363,8.0375595,38.855656
Azerbaijan,2019,AZE,0.09795,0.0442,0.1054,1.5648
Azerbaijan,2020,AZE,0.1003,0.047,0.0961,1.0695
Azerbaijan,2021,AZE,0.0966,0.0552,0.0914,1.2773
Azerbaijan,2022,AZE,0.10265,0.0609,0.0833,1.5957
Azerbaijan,2023,AZE,0.1115,0.0794,0.0566,1.7634
Belarus,2019,BLR,0.11,0.179,0.166,0.351
Belarus,2020,BLR,0.268,0.17,0.185,0.4
Belarus,2021,BLR,0.5439,0.1738,0.168,0.371
Belarus,2022,BLR,0.5208,0.2087,0.1747112,0.37
Belarus,2023,BLR,0.5075,0.1533,0.17174067,0.3
Belgium,2019,BEL,5.1736,4.2525,9.7554,0.302
Belgium,2020,BEL,5.2686,5.1122,12.8186,0.2669
Belgium,2021,BEL,4.6909,5.6181,11.9976,0.4181
Belgium,2022,BEL,4.9358,6.876,12.3526,0.2711
Belgium,2023,BEL,3.4755101,7.3287697,15.676437,0.39227447
Bosnia and Herzegovina,2019,,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2020,,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2021,,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2022,,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2023,,0.0,0.0,0.0,0.0
Bulgaria,2019,BGR,1.820811,1.417286,1.316988,2.929499
Bulgaria,2020,BGR,1.699341,1.46872,1.477131,2.820398
Bulgaria,2021,BGR,2.588892,1.466598,1.433561,4.819205
Bulgaria,2022,BGR,2.243594,2.093838,1.499125,3.803279
Bulgaria,2023,BGR,1.8885072,3.4297245,1.5839481,3.1302676
Croatia,2019,HRV,0.9703,0.0831,1.4673,5.8261
Croatia,2020,HRV,1.072,0.0955,1.7207,5.6624
Croatia,2021,HRV,1.1895,0.1489,2.0618,7.1277
Croatia,2022,HRV,1.2015,0.1519,2.1378,5.4597
Croatia,2023,HRV,1.0625012,0.37693232,2.3494534,8.17058
Cyprus,2019,CYP,0.05792,0.218267,0.238565,0.0
Cyprus,2020,CYP,0.060632,0.295608,0.240408,0.0
Cyprus,2021,CYP,0.05994,0.468338,0.246478,0.0
Cyprus,2022,CYP,0.05784,0.601859,0.224266,0.0
Cyprus,2023,CYP,0.0492176,0.82589877,0.20847693,0.0
Czechia,2019,CZE,5.030655,2.2877533,0.70003396,2.0086746
Czechia,2020,CZE,5.212986,2.2372687,0.6990835,2.1442552
Czechia,2021,CZE,5.3839655,2.1522183,0.6015541,2.4102345
Czechia,2022,CZE,5.404244,2.298348,0.6413305,2.0934653
Czechia,2023,CZE,5.1635184,2.1920664,0.70141083,2.342997
Denmark,2019,DNK,5.943146,0.9632695,16.149834,0.016955
Denmark,2020,DNK,5.919057,1.180532,16.330214,0.017064
Denmark,2021,DNK,8.718286,1.308929,16.054466,0.016294
Denmark,2022,DNK,7.273136,2.202567,19.027824,0.014944
Denmark,2023,DNK,6.6870804,3.4771225,19.394854,0.01968496
Estonia,2019,EST,1.363,0.0735,0.687,0.019
Estonia,2020,EST,1.8515,0.245,0.844,0.03
Estonia,2021,EST,1.7585,0.354,0.731,0.021
Estonia,2022,EST,1.596,0.596,0.668,0.023
Estonia,2023,EST,1.4219745,0.7319015,0.69578224,0.02656338
Finland,2019,FIN,13.292058,0.147182,6.024746,12.420475
Finland,2020,FIN,11.569852,0.218471,8.255676,15.883341
Finland,2021,FIN,13.579126,0.297518,8.506734,15.791129
Finland,2022,FIN,12.760534,0.392342,12.021954,13.49176
Finland,2023,FIN,10.981029,0.6652308,15.036281,15.1728
France,2019,FRA,8.778017,11.647888,34.615356,56.027714
France,2020,FRA,8.812484,12.716188,39.930534,61.703796
France,2021,FRA,9.23665,14.880584,36.979103,58.653072
France,2022,FRA,9.733451,19.144035,37.90229,44.27017
