Country,2019,2020,2021,2022,2023
Albania,1.673,1.64,1.802,1.83,1.83
Andorra,6.419,4.923,5.236,5.263,5.242
Armenia,2.164,2.351,2.584,2.487,2.585
Austria,7.651,6.969,7.333,6.783,6.416
Azerbaijan,3.733,3.559,3.742,3.923,4.258
Belarus,6.581,6.315,6.587,6.474,6.197
Belgium,8.675,7.905,8.2,7.645,7.118
Bosnia and Herzegovina,6.22,6.314,6.553,6.541,6.336
Bulgaria,6.059,5.285,6.169,6.881,5.311
Croatia,4.473,4.27,4.436,4.507,4.498
Cyprus,5.708,5.387,5.443,5.406,5.334
Czech Republic,9.57,8.689,9.177,8.911,7.921
Denmark,5.321,4.852,5.052,4.817,4.584
Estonia,9.261,6.918,7.802,8.708,7.328
Finland,7.686,6.818,6.821,6.53,5.646
France,4.793,4.256,4.625,4.428,4.101
Georgia,2.867,2.786,2.929,3.038,3.091
Germany,8.495,7.753,8.11,7.986,7.051
Greece,6.133,5.193,5.437,5.578,5.389
Hungary,5.032,4.832,4.979,4.63,4.149
Iceland,9.859,9.112,9.415,9.499,9.708
Ireland,7.565,7.049,7.466,7.184,6.626
Italy,5.648,5.051,5.625,5.714,5.268
Kosovo,4.78,4.825,5.062,5.06,4.927
Latvia,3.996,3.681,3.839,3.519,3.46
Liechtenstein,3.875,3.659,3.735,3.898,3.969
Lithuania,4.904,4.851,4.957,4.564,4.366
Luxembourg,15.741,12.805,13.151,11.138,10.514
Malta,3.271,3.088,3.072,3.358,3.419
Moldova,1.765,1.707,1.935,1.905,1.944
Montenegro,4.049,3.96,3.993,3.889,3.675
Netherlands,8.691,7.749,7.878,7.107,6.559
North Macedonia,4.03,3.719,3.505,3.873,4.066
Norway,8.002,7.665,7.586,7.478,7.048
Poland,8.312,7.923,8.701,8.207,7.463
Portugal,4.6,4.025,3.877,3.906,3.569
Romania,3.921,3.801,4.014,3.808,3.569
Russian Federation,11.636,11.156,11.739,12.379,12.486
Serbia,6.356,6.539,6.391,6.408,6.254
Slovakia,6.207,5.711,6.47,5.765,5.571
Slovenia,6.739,6.114,6.179,6.005,5.348
Spain,5.283,4.443,4.799,4.906,4.626
Sweden,3.972,3.545,3.709,3.573,3.465
Switzerland,4.281,3.961,4.109,3.733,3.691
Turkey,4.718,4.796,5.222,5.023,4.951
Ukraine,4.937,4.629,4.744,3.438,3.616
United Kingdom,5.435,4.844,5.091,4.603,4.443
