Country,2019,2020,2021,2022,2023
Albania,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0
Austria,4597.066167,4707.559417,4321.52347,3748.401901,4255.619831
Azerbaijan,154.7700081,105.0410264,124.8049099,154.9929497,170.9017359
Belarus,37.20027547,42.77643442,40.10218166,40.33470831,32.91032594
Belgium,26.28230221,23.12804314,36.13393044,23.28675096,33.49082387
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Bulgaria,419.9717381,406.76936,700.7487907,557.1865418,460.6176988
Croatia,1461.516811,1432.084365,1816.156369,1397.403809,2097.158539
Cyprus,0.0,0.0,0.0,0.0,0.0
Czech Republic,190.3078304,203.244434,228.8773197,196.1419407,216.7490524
Denmark,2.91592622,2.926161745,2.782078117,2.53163785,3.309434522
Estonia,14.31994218,22.56192119,15.76872536,17.03587607,19.42912271
Finland,2249.370897,2872.412502,2849.834905,2422.523912,2708.855358
France,852.3988178,936.2497596,887.5593799,667.952605,835.6923906
Georgia,0.0,0.0,0.0,0.0,0.0
Germany,236.1320302,219.0874376,234.8638033,209.5964157,232.281611
Greece,373.1462563,312.5125124,558.0041554,370.2472062,385.3510853
Hungary,22.41476402,25.02702714,21.83800158,18.38025358,22.90960075
Iceland,37319.4625,35886.63106,37042.90096,37320.80512,36693.38604
Ireland,179.7072296,187.1822445,149.036578,137.2211773,179.6795769
Italy,770.9362241,795.0530173,759.8977213,476.3171055,654.1812183
Kosovo,0.0,0.0,0.0,0.0,0.0
Latvia,1100.971808,1369.215709,1436.04555,1461.84913,2018.627922
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,123.5752974,107.4839597,137.3059618,164.8607949,157.7667255
Luxembourg,172.3973904,145.2623466,166.8218081,98.10107207,135.8171015
Malta,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0
Netherlands,4.229905894,2.611935136,4.976717041,2.792494502,3.758458258
North Macedonia,613.2207164,682.2268554,784.1909904,731.0556907,885.9771809
Norway,23428.52815,26197.55008,26496.20448,23385.5613,24654.95693
Poland,51.23271969,55.49597135,61.49220048,51.27391859,61.82007219
Portugal,852.5393161,1165.089327,1145.952499,628.5833595,1159.937435
Romania,798.9583696,793.1355724,904.6025648,729.2112142,953.9266744
Russian Federation,1326.500218,1451.365603,1471.057331,1357.787466,1381.084736
San Marino,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,0.0,0.0
Slovakia,799.17426,828.0434124,782.3226679,672.0024907,859.9490727
Slovenia,2150.003648,2346.849034,2229.724225,1488.493923,2346.866614
Spain,474.0385605,639.8292456,620.6260434,367.7732299,531.7094616
Sweden,6352.411227,6981.673183,7084.597398,6656.41112,6258.606247
Switzerland,4387.508706,4335.759559,4200.00108,3362.662047,4168.830077
Turkey,1040.595168,907.1069356,645.1635268,767.3291295,731.6815855
Ukraine,144.765773,169.2883052,235.1792011,270.2955,336.8715341
United Kingdom,88.40434076,101.9823358,79.7753304,82.72450376,75.63010712
Vatican,0.0,0.0,0.0,0.0,0.0
