country,year,iso_code,value
Albania,2019,AL,38.042
Albania,2020,AL,45.015
Albania,2021,AL,41.389
Albania,2022,AL,44.076
Albania,2023,AL,46.62
Austria,2019,AT,33.755
Austria,2020,AT,36.545
Austria,2021,AT,34.792
Austria,2022,AT,34.075
Austria,2023,AT,40.844
Bosnia and Herzegovina,2019,BA,37.454
Bosnia and Herzegovina,2020,BA,39.835
Bosnia and Herzegovina,2021,BA,36.562
Belgium,2019,BE,9.929
Belgium,2020,BE,13.0
Belgium,2021,BE,13.076
Belgium,2022,BE,13.816
Belgium,2023,BE,14.741
Bulgaria,2019,BG,21.545
Bulgaria,2020,BG,23.319
Bulgaria,2021,BG,19.445
Bulgaria,2022,BG,19.044
Bulgaria,2023,BG,22.549
Cyprus,2019,CY,13.777
Cyprus,2020,CY,16.879
Cyprus,2021,CY,19.069
Cyprus,2022,CY,19.427
Cyprus,2023,CY,20.213
Czech Republic,2019,CZ,16.239
Czech Republic,2020,CZ,17.303
Czech Republic,2021,CZ,17.614
Czech Republic,2022,CZ,18.123
Czech Republic,2023,CZ,18.586
Germany,2019,DE,17.266
Germany,2020,DE,19.09
Germany,2021,DE,19.3
Germany,2022,DE,20.814
Germany,2023,DE,21.562
Denmark,2019,DK,37.02
Denmark,2020,DK,31.681
Denmark,2021,DK,41.813
Denmark,2022,DK,42.383
Denmark,2023,DK,44.396
Euro area – 20 countries (from 2023),2021,EA20,20.656
Euro area – 20 countries (from 2023),2022,EA20,21.804
Euro area – 20 countries (from 2023),2023,EA20,23.4
Estonia,2019,EE,31.73
Estonia,2020,EE,30.069
Estonia,2021,EE,37.342
Estonia,2022,EE,38.542
Estonia,2023,EE,40.95
Greece,2019,EL,19.633
Greece,2020,EL,21.749
Greece,2021,EL,22.001
Greece,2022,EL,22.671
Greece,2023,EL,25.269
Spain,2019,ES,17.852
Spain,2020,ES,21.22
Spain,2021,ES,20.55
Spain,2022,ES,21.896
Spain,2023,ES,24.852
European Union - 27 countries (from 2020),2019,EU27_2020,19.887
European Union - 27 countries (from 2020),2020,EU27_2020,22.038
European Union - 27 countries (from 2020),2021,EU27_2020,21.894
European Union - 27 countries (from 2020),2022,EU27_2020,23.058
European Union - 27 countries (from 2020),2023,EU27_2020,24.554
Finland,2019,FI,42.807
Finland,2020,FI,43.939
Finland,2021,FI,42.819
Finland,2022,FI,47.74
Finland,2023,FI,50.75
France,2019,FR,17.174
