Country,2019,2020,2021,2022
Albania,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197
Andorra,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894
Armenia,11.5447839831401,11.5374077976818,11.5300316122234,11.522655426765
Austria,47.1037324285022,47.137905962191,47.1720794958798,47.206131846825
Azerbaijan,13.5533670481767,13.6941896764514,13.8329909255898,13.9724815486993
Belarus,43.1261547557461,43.1944033894965,43.2722345405272,43.3351396620523
Belgium,22.604446776415,22.604446776415,22.604446776415,22.604446776415
Bosnia and Herzegovina,42.7326171875,42.7326171875,42.7326171875,42.7326171875
Bulgaria,35.7406042741341,35.8603537214444,35.9801031687546,36.0998526160649
Croatia,34.6045672217854,34.6517155110793,34.6963902787706,34.7410650464618
Cyprus,18.6742424242424,18.6720779220779,18.6699134199134,18.6677489177489
Czech Republic,34.6514173213048,34.6779919254939,34.7066980208929,34.7369431785448
Denmark,15.6875,15.711,15.7345,15.758
Estonia,57.0385964912281,57.0385964912281,57.0385964912281,57.0652937046572
Finland,73.7307932747672,73.7283674409423,73.7264996576714,73.7264996576714
France,31.3567354631573,31.5090483730461,31.6613612829349,31.8136741928238
Georgia,40.6159159591308,40.6159159591308,40.6159159591308,40.6159159591308
Germany,32.6826755201923,32.6826755201923,32.6826755201923,32.685482024273
Greece,30.2699767261443,30.2699767261443,30.2699767261443,30.2699767261443
Hungary,22.5122726276572,22.4962743808898,22.4803495507342,22.4643754109139
Iceland,0.502727362888029,0.5092730338193,0.515719527918278,0.522265198849549
Ireland,11.2936565539265,11.3517201335462,11.4097837131659,11.4678472927856
Italy,32.1669704480973,32.3489349614665,32.5308994748357,32.7125321249831
Latvia,54.7498674208945,54.8094166800579,54.8716053350474,54.933793990037
Liechtenstein,41.875,41.875,41.875,41.875
Lithuania,35.1325455126158,35.1485148514851,35.1807490816164,35.2036435371542
Luxembourg,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664
Malta,1.4375,1.4375,1.4375,1.4375
Moldova,11.7527572607105,11.7532218728523,11.7227782832878,11.7512921860748
Monaco,0.0,0.0,0.0,0.0
Montenegro,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836
Netherlands,10.9465399465399,10.974160974161,11.001980991981,11.0296673596674
North Macedonia,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682
Norway,33.3399069828592,33.4353596771758,33.4581491750625,33.4795618634529
Poland,30.939858220901,30.9770358997811,31.0192747468148,31.0594923061845
Portugal,36.154994891142,36.154994891142,36.154994891142,36.154994891142
Romania,30.1158292767733,30.1158292767733,30.1158292767733,30.1158292767733
Russian Federation,49.7843360788722,49.7843360788722,49.7843360788722,49.7843360788722
San Marino,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
Serbia,31.1253144294535,32.3778094898323,32.3812581757641,32.3858163872042
Slovakia,40.05615640599,40.05615640599,40.05615640599,40.05615640599
Slovenia,61.5730716513379,61.4722591923085,61.3711140025029,61.2701922885918
Spain,37.1677215644695,37.1773054885498,37.1727521093233,37.1827922798055
Sweden,68.6996660773915,68.6996660773915,68.6996660773915,68.6996660773915
Switzerland,32.034468558678,32.1215359394659,32.2086033202538,32.2956707010417
Turkey,28.6687888985616,28.8714836999597,29.0741785013578,29.2768733027559
Ukraine,16.7138419054194,16.7241974456334,16.7345529858474,16.7449085260614
United Kingdom,13.1525647914686,13.1856322076634,13.2214553796553,13.2554871243748
