Country,2019,2020,2021,2022,2023
Albania,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0
Austria,525.6538686,515.7415393,500.8920657,518.5463931,499.2339904
Azerbaijan,9.687961588,9.850972369,9.43878047,9.970562315,10.80613789
Belarus,11.65820599,28.66021106,58.7913116,56.77382727,55.67330139
Belgium,450.2454262,456.5470516,405.4069704,423.9717645,296.725139
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Bulgaria,261.0306951,245.0859244,376.4444422,328.6901598,277.8931235
Croatia,243.4063544,271.1208038,303.0876722,307.5225152,272.7142338
Cyprus,45.01546241,46.55941639,45.50174902,43.44377546,36.5935825
Czech Republic,476.6192784,494.1158071,511.2646065,506.3369841,477.6735609
Denmark,1022.104114,1015.009269,1488.581852,1232.12971,1124.231633
Estonia,1027.267431,1392.44657,1320.443026,1182.141661,1040.067832
Finland,2407.216184,2092.342381,2450.633344,2291.228034,1960.483183
France,133.5476817,133.7143995,139.7723097,146.8592497,146.0835372
Georgia,0.0,0.0,0.0,0.0,0.0
Germany,602.2512067,611.7674108,601.0304278,617.2544213,585.3581755
Greece,37.507487,42.3907202,47.18579533,54.7045416,68.53097787
Hungary,229.7769189,222.6789997,231.0501771,221.182602,156.2361824
Iceland,16684.19252,16257.99125,15568.53769,15553.61387,15496.82552
Ireland,173.2616924,185.3996424,197.8645422,198.3045836,180.8755734
Italy,426.3669053,428.2877089,418.2968394,393.3772506,341.3523876
Kosovo,0.0,0.0,0.0,0.0,0.0
Latvia,484.4778706,454.8889365,457.0416082,426.0091927,331.9212176
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,190.7653404,212.4999016,245.3042399,251.4091622,169.2429255
Luxembourg,448.4750857,590.3770554,606.8195591,549.0558933,307.5831641
Malta,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0
Netherlands,331.9557524,501.1518574,615.7479254,546.5495619,444.1661404
North Macedonia,29.03760086,30.60756263,29.0733825,19.67193338,35.61851731
Norway,47.31068387,44.58036531,41.4398379,43.6367868,61.2686482
Poland,200.9890471,218.7592389,211.9140268,198.8026072,212.7304787
Portugal,345.9271573,386.5415029,402.8069506,413.5517888,339.7651268
Romania,25.85149288,28.18295081,33.91487986,33.75674657,15.04089786
Russian Federation,3.675272931,5.566521845,5.615851601,5.782385191,5.84143534
San Marino,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,0.0,0.0
Slovakia,310.6065248,306.6895349,338.798262,272.2359193,343.6650981
Slovenia,122.9756998,131.9323123,132.7185539,128.738246,148.6929633
Spain,118.837372,128.7186593,144.3575423,141.1612823,112.8642629
Sweden,1268.2017,1079.519552,1255.935982,1249.602735,1075.280342
Switzerland,217.0789106,227.7624354,228.8958171,228.7259815,223.9109261
Turkey,146.1433267,168.2811759,199.1208872,220.6219567,223.3302471
Ukraine,9.050780238,16.90689006,20.60740419,18.90677983,27.66821213
United Kingdom,559.3751172,586.8598135,591.8888248,525.5450278,494.8825375
Vatican,0.0,0.0,0.0,0.0,0.0
