Country,2019,2020,2021,2022,2023
Albania,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0
Austria,191.6582544,228.9924835,310.3139683,418.294393,565.5849766
Azerbaijan,4.371698848,4.616108687,5.39358884,5.915316561,7.695133167
Belarus,18.97108065,18.17998463,18.78641286,22.75095574,16.81717656
Belgium,370.0844045,442.994313,485.5394275,590.6296554,625.701018
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Bulgaria,203.1815218,211.8248185,213.2544216,306.7506629,504.6826689
Croatia,20.8462002,24.15301937,37.94010458,38.87862676,96.74794611
Cyprus,169.6372571,226.9978883,355.5254943,452.057871,614.0607177
Czech Republic,216.7485799,212.0607708,204.375946,215.3379075,202.7865656
Denmark,165.6633908,202.439497,223.4897955,373.1331627,584.5736663
Estonia,55.39556579,184.2556897,265.8156561,441.4513974,535.3311235
Finland,26.65493127,39.5092463,53.69325913,70.44728609,118.7660825
France,177.2095496,192.946443,225.1783489,288.8470509,334.8588569
Georgia,0.0,0.0,0.0,0.0,0.0
Germany,541.1852689,591.854154,589.5068122,717.1685713,724.0364122
Greece,413.1620047,415.6183028,496.3323147,685.688166,829.7944461
Hungary,153.2187294,252.2190973,391.0238397,488.6256176,674.8203137
Iceland,0.0,0.0,0.0,0.005013566,0.023338382
Ireland,6.741879128,10.67132768,15.7935976,29.02066981,79.88939753
Italy,393.9605259,416.2969416,419.2076144,471.6860397,524.8350523
Kosovo,0.0,0.0,0.0,0.0,0.0
Latvia,1.638747364,2.54955108,3.604703457,21.94297039,24.9681258
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,32.59325302,46.06966391,68.27724138,121.480112,125.5632676
Luxembourg,210.2420965,255.727509,281.4208248,422.8704027,453.870134
Malta,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0
Netherlands,307.8776424,485.7483234,637.5360084,953.8863081,1170.262304
North Macedonia,12.23909661,12.90686055,27.55066071,49.93272602,167.8496561
Norway,19.63822067,24.85121598,31.77978473,54.91956726,93.39223716
Poland,18.59140785,51.29327876,103.4284058,216.4780801,301.0294884
Portugal,129.7468544,165.4294833,215.2991505,337.8107578,524.7952326
Romania,91.17227288,89.36458787,88.47599399,103.7430082,97.41946549
Russian Federation,6.722373639,12.72203013,15.85367998,16.47645152,18.1165145
San Marino,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,0.0,0.0
Slovakia,108.0609824,121.5392478,123.2828817,118.7606359,109.4201637
Slovenia,145.4515521,175.1296958,214.3903818,305.2088898,509.6747302
Spain,318.5042433,433.4598476,567.667742,746.8995504,977.7854762
Sweden,64.49967225,99.96445708,144.6793705,187.1781892,293.6077387
Switzerland,253.9193702,300.7899236,326.4033679,438.7990237,681.3396533
Turkey,108.3655153,127.1920655,160.8428118,193.9796438,235.118159
Ukraine,65.23501667,120.1700743,146.8277548,126.6754249,151.2797131
United Kingdom,185.037591,185.6518885,178.450068,194.8230193,201.3090145
Vatican,0.0,0.0,0.0,0.0,0.0
