Country,2019,2020,2021,2022,2023
Albania,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0
Austria,838.8899292,761.2627029,751.645128,799.2708843,880.3042112
Azerbaijan,10.42482033,9.438469039,8.930688768,8.091065181,5.485447573
Belarus,17.59329267,19.78410092,18.15947849,19.04574403,18.84013809
Belgium,848.9879834,1110.787313,1036.882191,1061.054666,1338.391434
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Bulgaria,188.8028429,213.0378874,208.4505924,219.6242439,233.0773666
Croatia,368.0821847,435.1842977,525.3519652,547.1674015,603.038739
Cyprus,185.4128762,184.609714,187.106775,168.4467799,155.0038551
Czech Republic,66.32330798,66.26302235,57.12393963,60.08784044,64.88703687
Denmark,2777.453518,2800.330959,2741.179486,3223.47159,3260.661915
Estonia,517.7789619,634.7420496,548.9018209,494.7810964,508.9125903
Finland,1091.092596,1492.992372,1535.215594,2158.611703,2684.482123
France,526.6338108,605.8776814,559.581086,571.8734159,787.3606229
Georgia,0.0,0.0,0.0,0.0,0.0
Germany,1506.644662,1579.624969,1369.784911,1484.381009,1680.732917
Greece,677.9206761,870.154411,990.8710768,1045.211991,1075.253524
Hungary,74.61352955,67.1832081,68.39826911,62.98850945,66.51891408
Iceland,18.21188548,18.16646937,16.33440583,15.05028288,18.64895151
Ireland,2030.911782,2317.948607,1944.619096,2193.42534,2230.068762
Italy,335.9713006,313.1486358,350.3687651,343.7522193,395.4721801
Kosovo,0.0,0.0,0.0,0.0,0.0
Latvia,80.44802528,93.01995299,75.0088036,101.1042722,141.9768115
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,536.4470206,555.0178377,487.280501,536.8980753,878.3718188
Luxembourg,453.5608208,556.8294806,490.9023609,477.9019647,698.9436642
Malta,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0
Netherlands,656.1894833,866.2447215,1017.791594,1195.280082,1596.515688
North Macedonia,53.64865784,62.43786795,55.82383317,58.50119224,86.06125123
Norway,1033.147678,1842.441935,2175.824659,2713.975328,2530.245874
Poland,395.197113,413.9280325,426.745985,515.2835426,622.5035277
Portugal,1321.348926,1185.925603,1271.838029,1271.374162,1261.368446
Romania,347.3058516,358.1287148,341.6430631,365.0587871,398.8287563
Russian Federation,2.148388859,7.774885202,17.72427214,28.85735111,32.64124415
San Marino,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,0.0,0.0
Slovakia,1.100790992,0.733268464,0.918650385,0.730834683,0.724892838
Slovenia,2.951854533,2.973241775,2.646327529,2.709398032,3.032909821
Spain,1119.193332,1183.814791,1300.096972,1312.693261,1340.542557
Sweden,1930.76646,2658.592597,2602.533511,3152.371246,3252.668319
Switzerland,17.021225,16.781277,16.65323306,17.06061523,18.93917343
Turkey,254.5841838,288.3927788,362.6497649,401.4020692,390.3922726
Ukraine,44.93582265,73.05951975,85.00554227,37.81355966,25.00318555
United Kingdom,951.1843058,1119.194036,955.5838217,1177.148817,1193.738506
Vatican,0.0,0.0,0.0,0.0,0.0
