Country,Wind generation (per capita - Wh),renewable_wind_generation_subindex
Albania,0.0,0.0
Andorra,0.0,0.0
Armenia,0.0,0.0
Austria,806.27457112,0.2723330616659559
Azerbaijan,8.474098178199998,0.002862271965890429
Belarus,18.68455084,0.006311027432059599
Belgium,1079.22071748,0.3645253028337353
Bosnia and Herzegovina,0.0,0.0
Bulgaria,212.59858663999998,0.07180881808674719
Croatia,495.76491761999995,0.1674531018564526
Cyprus,176.11600004,0.059486198892060145
Czech Republic,62.937029454000005,0.02125806088558546
Denmark,2960.6194936,1.0
Estonia,541.02330382,0.1827398978455473
Finland,1792.4788776,0.6054404767228004
France,610.2653234,0.20612757725848138
Georgia,0.0,0.0
Germany,1524.2336936,0.5148360661999797
Greece,931.88233578,0.3147592379886909
Hungary,67.940486058,0.022948064148353955
Iceland,17.282399014,0.005837426609991432
Ireland,2143.3947174,0.7239683188040196
Italy,347.74262018,0.11745603274305212
Kosovo,0.0,0.0
Latvia,98.311573114,0.03320641957756513
Liechtenstein,0.0,0.0
Lithuania,598.80305068,0.20225599810257222
Luxembourg,535.62765824,0.18091742603123145
Malta,0.0,0.0
Moldova,0.0,0.0
Monaco,0.0,0.0
Montenegro,0.0,0.0
Netherlands,1066.40431376,0.3601963427131573
North Macedonia,63.294560486,0.02137882312226359
Norway,2059.1270948,0.6955054843255728
Poland,474.73164016,0.1603487517346393
Portugal,1262.3710331999998,0.4263874624648252
Romania,362.19303458,0.12233690798934352
Russian Federation,17.8292282922,0.006022127575239444
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,0.8416874724,0.0002842943763018125
Slovenia,2.862746338,0.000966941663455377
Spain,1251.2681826,0.4226372842929929
Sweden,2719.3864266,0.9185193951733831
Switzerland,17.291104744000002,0.00584036711957695
Turkey,339.48421386,0.11466661440075847
Ukraine,53.163525976,0.01795689249865581
United Kingdom,1079.3698973,0.3645756908759415
Vatican,0.0,0.0
